,0
0,-862.8639526367188
1,-832.8050537109375
2,-880.9846801757812
3,-864.2787475585938
4,-875.2654418945312
5,-872.7318115234375
6,-854.6739501953125
7,-887.4273071289062
8,-892.0721435546875
9,-938.855712890625
10,-987.9281616210938
11,-982.1771240234375
12,-1032.4952392578125
13,-1061.568115234375
14,-1140.673828125
15,-1233.1805419921875
16,-1308.729736328125
17,-1406.685546875
18,-1626.4217529296875
19,-1831.51806640625
20,-1932.50146484375
21,-2308.016357421875
22,-2777.617919921875
23,-3117.56884765625
24,-3437.22412109375
25,-4160.3544921875
26,-4386.20361328125
27,-5136.130859375
28,-6208.3095703125
29,-6883.44482421875
30,-7383.7119140625
31,-8986.56640625
32,-10225.904296875
33,-11616.396484375
34,-12164.150390625
35,-14412.3544921875
36,-16502.361328125
37,-17737.529296875
38,-20624.861328125
39,-25570.150390625
40,-24428.193359375
41,-27819.673828125
42,-31465.041015625
43,-37877.23828125
44,-39162.9921875
45,-40394.234375
46,-45078.66015625
47,-49707.77734375
48,-63267.90234375
49,-60544.0078125
50,-68741.796875
51,-77796.5546875
52,-84619.09375
53,-96070.2734375
54,-107393.2109375
55,-104584.4921875
56,-118061.578125
57,-123475.6015625
58,-145327.21875
59,-159446.125
60,-179513.953125
61,-180572.203125
62,-194577.78125
63,-215005.375
64,-230193.21875
65,-245766.734375
66,-265693.8125
67,-277181.90625
68,-244660.640625
69,-352327.09375
70,-322675.21875
71,-369831.90625
72,-393653.4375
73,-448912.375
74,-440807.625
75,-412147.8125
76,-519569.4375
77,-511977.8125
78,-560297.375
79,-644499.6875
80,0.0
